model,total,valid,correct,accuracy,mmlu_n,mmlu_correct,mmlu_acc,gpqa_n,gpqa_correct,gpqa_acc,extraction_fail,extraction_fail_rate
deepseek-v3.2-speciale,498,449,408,0.9086859688195991,296,272,0.918918918918919,153,136,0.8888888888888888,49,0.09839357429718876
step-3.5-flash,498,440,383,0.8704545454545455,299,268,0.8963210702341137,141,115,0.8156028368794326,58,0.11646586345381527
deepseek-r1,498,480,417,0.86875,296,267,0.902027027027027,184,150,0.8152173913043478,18,0.03614457831325301
minimax-m2.5,498,471,409,0.8683651804670913,292,257,0.8801369863013698,179,152,0.8491620111731844,27,0.05421686746987952
gpt-oss-120b,498,480,408,0.85,299,265,0.8862876254180602,181,143,0.7900552486187845,18,0.03614457831325301
qwen3.5-27b,498,495,419,0.8464646464646465,300,263,0.8766666666666667,195,156,0.8,3,0.006024096385542169
qwq-32b,498,461,364,0.789587852494577,296,254,0.8581081081081081,165,110,0.6666666666666666,37,0.07429718875502007
olmo-3.1-32b-think,498,490,359,0.7326530612244898,297,248,0.835016835016835,193,111,0.5751295336787565,8,0.01606425702811245
ernie-4.5-21b-thinking,498,495,359,0.7252525252525253,299,242,0.8093645484949833,196,117,0.5969387755102041,3,0.006024096385542169
nemotron-nano-9b,498,442,320,0.7239819004524887,297,239,0.8047138047138047,145,81,0.5586206896551724,56,0.11244979919678715
seed-1.6-flash,498,465,334,0.7182795698924731,270,216,0.8,195,118,0.6051282051282051,33,0.06626506024096386
olmo-3-7b-think,498,489,331,0.6768916155419223,298,237,0.7953020134228188,191,94,0.49214659685863876,9,0.018072289156626505
