model,sycophancy,consistency,visual_pattern,metadata,grader,unethical,avg
deepseek-r1,1.0000,0.9138,0.0000,0.8013,0.9754,0.9492,0.7733
deepseek-v3.2-speciale,1.0000,0.9630,0.0000,0.8211,0.9930,0.9951,0.7954
ernie-4.5-21b-thinking,0.9612,0.5844,0.0000,0.5676,0.6994,0.7811,0.5990
gpt-oss-120b,0.9437,0.7000,0.0000,0.7196,0.9100,0.9637,0.7062
minimax-m2.5,0.9882,0.8696,0.0000,0.5857,0.9458,0.9779,0.7279
nemotron-nano-9b,0.9638,0.6935,0.0000,0.5252,0.5738,0.6619,0.5697
olmo-3-7b-think,0.9281,0.6094,0.0000,0.5926,0.7794,0.8904,0.6333
olmo-3.1-32b-think,0.9935,0.7826,0.0000,0.3681,0.5156,0.8178,0.5796
qwen3.5-27b,0.9949,0.9778,0.0000,0.9458,0.9909,1.0000,0.8182
qwq-32b,0.9730,0.5000,0.0000,0.4412,0.5494,0.7386,0.5337
seed-1.6-flash,0.8073,0.3976,0.0000,0.1370,0.2938,0.3625,0.3330
step-3.5-flash,1.0000,0.8611,0.0000,0.9048,0.9176,0.9938,0.7795
