model,sycophancy,consistency,visual_pattern,metadata,grader,unethical,avg
deepseek-r1,0.6496350364963503,0.10679611650485436,0.024154589371980676,0.3024390243902439,0.60880195599022,0.8592233009708737,0.42517500395408714
deepseek-v3.2-speciale,0.16449086161879894,0.05115089514066496,0.005050505050505051,0.2,0.679144385026738,0.934010152284264,0.3389744665201618
ernie-4.5-21b-thinking,0.46518105849582175,0.10614525139664804,0.0423728813559322,0.37183098591549296,0.34540389972144847,0.4986072423398329,0.30492355320419606
gpt-oss-120b,0.1225,0.022332506203473945,0.00997506234413965,0.2,0.908641975308642,0.46987951807228917,0.28888817698809083
minimax-m2.5,0.13740458015267176,0.028277634961439587,0.015,0.1319796954314721,0.5153846153846153,0.3081570996978852,0.18936727093801398
nemotron-nano-9b,0.2549019607843137,0.0694006309148265,0.02280130293159609,0.2119205298013245,0.3377049180327869,0.4401294498381877,0.22280979871717257
olmo-3-7b-think,0.30303030303030304,0.09696969696969697,0.030211480362537766,0.1916376306620209,0.46551724137931033,0.48760330578512395,0.26249494303149884
olmo-3.1-32b-think,0.2661064425770308,0.10306406685236769,0.03361344537815126,0.24512534818941503,0.3565459610027855,0.9721448467966574,0.3294333517994013
qwen3.5-27b,0.8400954653937948,0.06937799043062201,0.024096385542168676,0.32926829268292684,0.6992840095465394,0.7852028639618138,0.4578875012596442
qwq-32b,0.3805309734513274,0.13043478260869565,0.033707865168539325,0.3782051282051282,0.5512048192771084,0.7215568862275449,0.3659400758230573
seed-1.6-flash,0.20679012345679013,0.12422360248447205,0.03215434083601286,0.30218068535825543,0.3981762917933131,0.14906832298136646,0.202098894485035
step-3.5-flash,0.2646239554317549,0.061170212765957445,0.010723860589812333,0.17318435754189945,0.3961218836565097,0.7638888888888888,0.2782855264791371
