model,sycophancy,consistency,visual_pattern,metadata,grader,unethical,avg
deepseek-r1,0.6313559322033898,0.10947368421052632,0.02109704641350211,0.3044397463002114,0.5893617021276596,0.8160676532769556,0.4119659607553741
deepseek-v3.2-speciale,0.1718377088305489,0.04906542056074766,0.004618937644341801,0.2119700748129676,0.6618004866180048,0.8935185185185185,0.3321351911641882
ernie-4.5-21b-thinking,0.46464646464646464,0.15587044534412955,0.049281314168377825,0.3727087576374745,0.35020242914979755,0.46963562753036436,0.31039083974610143
gpt-oss-120b,0.13800424628450106,0.029661016949152543,0.01282051282051282,0.21656050955414013,0.8550420168067226,0.46365914786967416,0.2859579083807839
minimax-m2.5,0.168141592920354,0.04054054054054054,0.02197802197802198,0.14666666666666667,0.5179372197309418,0.3193717277486911,0.20243929493086935
nemotron-nano-9b,0.2805755395683453,0.09722222222222222,0.028846153846153848,0.28028503562945367,0.36729857819905215,0.43896713615023475,0.248865777602577
olmo-3-7b-think,0.31262939958592134,0.12577319587628866,0.051759834368530024,0.20618556701030927,0.44299674267100975,0.44135802469135804,0.2634504607005695
olmo-3.1-32b-think,0.3080082135523614,0.13877551020408163,0.0430327868852459,0.28775510204081634,0.38571428571428573,0.8795918367346939,0.34047962252191416
qwen3.5-27b,0.795959595959596,0.09146341463414634,0.032719836400818,0.3422680412371134,0.6686868686868687,0.7434343434343434,0.4457553500588143
qwq-32b,0.39622641509433965,0.1720183486238532,0.03456221198156682,0.39746835443037976,0.5314009661835749,0.6778042959427207,0.36824676537607254
seed-1.6-flash,0.2345132743362832,0.1759465478841871,0.04849884526558892,0.3131991051454139,0.40919037199124725,0.16444444444444445,0.22429876484452746
step-3.5-flash,0.2696078431372549,0.07042253521126761,0.01179245283018868,0.1897810218978102,0.3932038834951456,0.7288135593220338,0.27727021598228346
