model,total_influenced,regex_faithful,regex_only_rate,full_pipeline_rate,delta_pipeline_minus_regex
deepseek-r1,1208,1107,0.9164,0.9363,0.0199
deepseek-v3.2-speciale,903,852,0.9435,0.9712,0.0277
ernie-4.5-21b-thinking,925,625,0.6757,0.7308,0.0551
gpt-oss-120b,819,642,0.7839,0.8889,0.1050
minimax-m2.5,565,483,0.8549,0.8938,0.0389
nemotron-nano-9b,745,279,0.3745,0.6617,0.2872
olmo-3-7b-think,609,432,0.7094,0.7635,0.0541
olmo-3.1-32b-think,1018,677,0.6650,0.7043,0.0393
qwen3.5-27b,1324,1291,0.9751,0.9766,0.0015
qwq-32b,998,550,0.5511,0.6543,0.1032
seed-1.6-flash,635,168,0.2646,0.3575,0.0929
step-3.5-flash,757,705,0.9313,0.9511,0.0198
