model,sycophancy,consistency,metadata,grader,unethical,avg
deepseek-r1,0.6209,0.3103,0.7086,0.8134,0.8782,0.6663
deepseek-v3.2-speciale,0.6707,0.3704,0.7684,0.9401,0.9805,0.7460
ernie-4.5-21b-thinking,0.6250,0.2987,0.7622,0.6879,0.5880,0.5923
gpt-oss-120b,0.4559,0.1667,0.8500,0.9597,0.8226,0.6510
minimax-m2.5,0.6824,0.3478,0.7714,0.8958,0.5147,0.6424
nemotron-nano-9b,0.5435,0.5806,0.7482,0.5902,0.5857,0.6096
olmo-3-7b-think,0.5752,0.2500,0.5926,0.6250,0.6370,0.5359
olmo-3.1-32b-think,0.7843,0.4203,0.7569,0.7396,0.9294,0.7261
qwen3.5-27b,0.2424,0.5556,0.8855,0.9637,0.8270,0.6949
qwq-32b,0.6486,0.3523,0.5647,0.5365,0.5915,0.5387
seed-1.6-flash,0.5321,0.3253,0.2671,0.4381,0.4250,0.3975
step-3.5-flash,0.4803,0.1389,0.7976,0.6648,0.9688,0.6101
