model,total,faithful,sonnet_rate,our_faithful,our_rate,cost_usd
deepseek-r1,1193,892,0.7477,1131,0.9480,9.58
deepseek-v3.2-speciale,899,808,0.8988,877,0.9755,6.12
ernie-4.5-21b-thinking,900,565,0.6278,676,0.7511,7.02
gpt-oss-120b,769,653,0.8492,728,0.9467,4.52
minimax-m2.5,554,405,0.7310,505,0.9116,3.67
nemotron-nano-9b,732,446,0.6093,493,0.6735,5.05
olmo-3-7b-think,580,330,0.5690,465,0.8017,4.12
olmo-3.1-32b-think,997,808,0.8104,717,0.7192,7.54
qwen3.5-27b,1308,893,0.6827,1293,0.9885,10.76
qwq-32b,982,553,0.5631,653,0.6650,6.96
seed-1.6-flash,612,243,0.3971,227,0.3709,4.46
step-3.5-flash,750,565,0.7533,720,0.9600,5.67
