model,influenced_count,thinking_faithful,answer_faithful,both_count,thinking_only_count,answer_only_count,neither_count,thinking_rate,answer_rate,gap
deepseek-r1,1208,1153,876,867,286,9,46,0.9545,0.7252,0.2293
deepseek-v3.2-speciale,903,883,48,48,835,0,20,0.9779,0.0532,0.9247
qwen3.5-27b,1324,1315,1058,1055,260,3,6,0.9932,0.7991,0.1941
minimax-m2.5,565,530,52,52,478,0,35,0.9381,0.092,0.846
gpt-oss-120b,819,762,0,0,762,0,57,0.9304,0.0,0.9304
ernie-4.5-21b-thinking,925,766,428,425,341,3,156,0.8281,0.4627,0.3654
qwq-32b,998,757,333,321,436,12,229,0.7585,0.3337,0.4248
olmo-3.1-32b-think,1018,912,13,13,899,0,106,0.8959,0.0128,0.8831
olmo-3-7b-think,609,526,167,167,359,0,83,0.8637,0.2742,0.5895
nemotron-nano-9b,745,500,263,260,240,3,242,0.6711,0.353,0.3181
step-3.5-flash,757,740,23,23,717,0,17,0.9775,0.0304,0.9472
seed-1.6-flash,635,378,189,171,207,18,239,0.5953,0.2976,0.2976
